,Overview,Overview,Overview,Overview,Overview,Overview,Overview,Overview,Overview,Overview,Overview,Overview,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: Raw Amounts,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: % of Total Contributions,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Types: Contributors,Contribution Locations: Raw Amounts,Contribution Locations: Raw Amounts,Contribution Locations: Raw Amounts,Contribution Locations: Raw Amounts,Contribution Locations: Raw Amounts,Contribution Locations: Raw Amounts,Contribution Locations: Raw Amounts,Contribution Locations: % of Total Contributions,Contribution Locations: % of Total Contributions,Contribution Locations: % of Total Contributions,Contribution Locations: % of Total Contributions,Contribution Locations: % of Total Contributions,Contribution Locations: % of Total Contributions,Contribution Locations: % of Total Contributions,Contribution Locations: Contributors,Contribution Locations: Contributors,Contribution Locations: Contributors,Contribution Locations: Contributors,Contribution Locations: Contributors,Contribution Locations: Contributors,Contribution Locations: Contributors,Contribution Industries: Raw Amounts,Contribution Industries: Raw Amounts,Contribution Industries: Raw Amounts,Contribution Industries: Raw Amounts,Contribution Industries: Raw Amounts,Contribution Industries: Raw Amounts,Contribution Industries: % of Total Contributions,Contribution Industries: % of Total Contributions,Contribution Industries: % of Total Contributions,Contribution Industries: % of Total Contributions,Contribution Industries: % of Total Contributions,Contribution Industries: % of Total Contributions,Contribution Industries: Contributors,Contribution Industries: Contributors,Contribution Industries: Contributors,Contribution Industries: Contributors,Contribution Industries: Contributors,Contribution Industries: Contributors,Expenditure Locations: Raw Amounts,Expenditure Locations: Raw Amounts,Expenditure Locations: Raw Amounts,Expenditure Locations: Raw Amounts,Expenditure Locations: Raw Amounts,Expenditure Locations: Raw Amounts,Expenditure Locations: Raw Amounts,Expenditure Locations: % of Total Expenditures,Expenditure Locations: % of Total Expenditures,Expenditure Locations: % of Total Expenditures,Expenditure Locations: % of Total Expenditures,Expenditure Locations: % of Total Expenditures,Expenditure Locations: % of Total Expenditures,Expenditure Locations: % of Total Expenditures,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: Raw Amounts,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures,Expenditure Types: % of Total Expenditures
,Candidate,Public Financing Status,Office,Option,ID,Small Campaign,Terminated,Total Amount Raised,Total Contributors,Average Contribution,Total Expenditures,Cash On Hand,candidate,corporation,labor_union,candidate_family,individual,llc,other,partnership,candidate_committee,pac,party,candidate_spouse,unknown,candidate,corporation,labor_union,candidate_family,individual,llc,other,partnership,candidate_committee,pac,party,candidate_spouse,unknown,candidate,corporation,labor_union,candidate_family,individual,llc,other,partnership,candidate_committee,pac,party,candidate_spouse,unknown,manhattan,bronx,queens,staten_island,brooklyn,outside_nyc,all_nyc,manhattan,bronx,queens,staten_island,brooklyn,outside_nyc,all_nyc,manhattan,bronx,queens,staten_island,brooklyn,outside_nyc,all_nyc,law_enforcement,education,finance,healthcare,retired,student,law_enforcement,education,finance,healthcare,retired,student,law_enforcement,education,finance,healthcare,retired,student,manhattan,bronx,queens,staten_island,brooklyn,outside_nyc,all_nyc,manhattan,bronx,queens,staten_island,brooklyn,outside_nyc,all_nyc,advance_repayment,mailers,misc,political_contrib,compliance,consulting,constituent_services,fundraising,interest,literature,non_qualified_expenditures,office,other,petitioning,polling,postage,printing,professional_services,radio,tv,unknown,voter_reg,wages,advance_repayment,mailers,misc,political_contrib,compliance,consulting,constituent_services,fundraising,interest,literature,non_qualified_expenditures,office,other,petitioning,polling,postage,printing,professional_services,radio,tv,unknown,voter_reg,wages
0,"Abdin, Misba",Participant,City Council District 37,A,2313,False,False,7000.0,129,54.26,0,7000.0,0,0,0,0,7000.0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1521.0,0,5479.0,0,7000.0,0.0%,0.0%,21.73%,0.0%,78.27%,0.0%,100.0%,0,0,19,0,110,0,129,0,511.0,0,175.0,245.0,461.0,0.0%,7.3%,0.0%,2.5%,3.5%,6.59%,0,11,0,3,4,10,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,"Abreu, Shaun",Participant,City Council District 07,A,2243,False,False,66144.0,433,152.76,9234.050000000001,56909.95,1000.0,0,0,2850.0,61794.0,0,0,0,0,500.0,0,0,0,1.51%,0.0%,0.0%,4.31%,93.42%,0.0%,0.0%,0.0%,0.0%,0.76%,0.0%,0.0%,0.0%,1,0,0,18,418,0,0,0,0,1,0,0,0,40830.0,3796.0,2045.0,0,3885.0,3796.0,50556.0,61.73%,5.74%,3.09%,0.0%,5.87%,5.74%,76.43%,261,32,11,0,40,32,344,50.0,7375.0,3375.0,1505.0,6125.0,4020.0,0.08%,11.15%,5.1%,2.28%,9.26%,6.08%,1,68,11,15,41,28,7452.829999999999,0,0,0,300.0,1481.2200000000003,7752.83,11.27%,0.0%,0.0%,0.0%,0.45%,2.24%,11.72%,0,0,0,0,0,0,0,2496.3399999999997,0,3106.29,0,0,3131.42,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.77%,0.0%,4.7%,0.0%,0.0%,4.73%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2,"Adams, Adrienne E",Participant,City Council District 28,A,2063,False,False,14950.0,175,85.43,1151.1599999999999,13798.84,1500.0,0,0,20.0,12180.0,0,0,0,0,250.0,1000.0,0,0,10.03%,0.0%,0.0%,0.13%,81.47%,0.0%,0.0%,0.0%,0.0%,1.67%,6.69%,0.0%,0.0%,1,0,0,1,171,0,0,0,0,1,1,0,0,3125.0,25.0,9560.0,290.0,210.0,25.0,13210.0,20.9%,0.17%,63.95%,1.94%,1.4%,0.17%,88.36%,10,1,144,2,3,1,160,185.0,575.0,100.0,245.0,1710.0,20.0,1.24%,3.85%,0.67%,1.64%,11.44%,0.13%,4,16,1,13,33,2,0,0,915.0,0,0,236.15999999999997,915.0,0.0%,0.0%,6.12%,0.0%,0.0%,1.58%,6.12%,0,0,0,0,0,0,0,57.06,0,0,0,0,1094.1,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.38%,0.0%,0.0%,0.0%,0.0%,7.32%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
3,"Adams, Elizabeth",Participant,City Council District 33,A,2254,False,False,30151.0,379,79.55,1216.98,28934.02,250.0,0,0,0,29901.0,0,0,0,0,0,0,0,0,0.83%,0.0%,0.0%,0.0%,99.17%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,380,0,0,0,0,0,0,0,0,5833.0,618.0,1592.0,80.0,17919.0,618.0,26042.0,19.35%,2.05%,5.28%,0.27%,59.43%,2.05%,86.37%,60,17,30,2,243,17,352,0,1925.0,125.0,1100.0,1690.0,709.0,0.0%,6.38%,0.41%,3.65%,5.61%,2.35%,0,33,1,11,13,16,0,0,0,0,116.75999999999999,1100.22,116.75999999999999,0.0%,0.0%,0.0%,0.0%,0.39%,3.65%,0.39%,0,0,0,0,0,0,0,0,0,173.55,0,147.12,846.8100000000001,0,0,49.5,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.58%,0.0%,0.49%,2.81%,0.0%,0.0%,0.16%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
4,"Adams, Eric L",Participant,Undeclared,A,1545,False,False,2228066.2199999997,5354,416.15,368265.83,1859800.3899999997,200.0,0,2000.0,0,2217991.2199999997,0,0,0,0,7875.0,0,0,0,0.01%,0.0%,0.09%,0.0%,99.55%,0.0%,0.0%,0.0%,0.0%,0.35%,0.0%,0.0%,0.0%,1,0,2,0,5366,0,0,0,0,8,0,0,0,319373.0,31959.010000000002,402156.0,126251.0,738999.0,31959.010000000002,1618738.01,14.33%,1.43%,18.05%,5.67%,33.17%,1.43%,72.65%,662,147,1064,245,2104,147,4216,30925.0,92382.20999999999,69559.0,149056.0,188820.01,38874.0,1.39%,4.15%,3.12%,6.69%,8.47%,1.74%,181,345,97,314,594,69,161311.04,1546.5,51492.869999999995,0,79483.37999999999,74432.04000000001,293833.79000000004,7.24%,0.07%,2.31%,0.0%,3.57%,3.34%,13.19%,236.17,1025.0,0,0,0,99000.0,0,78536.61000000002,690.08,300.0,0,33669.45,146597.72,0,0,220.0,7990.0,315.0,0,0,0,0,0,0.01%,0.05%,0.0%,0.0%,0.0%,4.44%,0.0%,3.52%,0.03%,0.01%,0.0%,1.51%,6.58%,0.0%,0.0%,0.01%,0.36%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%
5,"Adler, Amber",Participant,Undeclared,A,2272,False,False,8443.0,97,87.04,4648.49,3794.51,3000.0,0,0,0,5443.0,0,0,0,0,0,0,0,0,35.53%,0.0%,0.0%,0.0%,64.47%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,96,0,0,0,0,0,0,0,0,800.0,535.0,570.0,100.0,5874.0,535.0,7879.0,9.48%,6.34%,6.75%,1.18%,69.57%,6.34%,93.32%,6,4,8,1,66,4,85,0,390.0,50.0,210.0,475.0,30.0,0.0%,4.62%,0.59%,2.49%,5.63%,0.36%,0,11,1,5,6,3,0,0,0,0,4013.0,635.49,4013.0,0.0%,0.0%,0.0%,0.0%,47.53%,7.53%,47.53%,0,0,0,0,0,3500.0,0,0,0,0,0,0,1063.49,0,0,0,0,85.0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,41.45%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.6%,0.0%,0.0%,0.0%,0.0%,1.01%,0.0%,0.0%,0.0%,0.0%,0.0%
6,"Alamarie, Kaled",Participant,City Council District 32,A,2282,False,False,18782.0,485,38.73,999.0399999999998,17782.96,185.0,0,0,0,18597.0,0,0,0,0,0,0,0,0,0.98%,0.0%,0.0%,0.0%,99.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,484,0,0,0,0,0,0,0,0,810.0,1590.0,6757.0,425.0,6455.0,1590.0,16037.0,4.31%,8.47%,35.98%,2.26%,34.37%,8.47%,85.38%,11,44,148,12,222,44,433,300.0,810.0,150.0,125.0,475.0,235.0,1.6%,4.31%,0.8%,0.67%,2.53%,1.25%,2,22,2,2,4,16,0,313.56,81.66,0,21.43,582.39,416.65000000000003,0.0%,1.67%,0.43%,0.0%,0.11%,3.1%,2.22%,0,0,0,0,0,0,0,0,0,0,0,129.35,544.13,0,0,0,313.56,12.0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.69%,2.9%,0.0%,0.0%,0.0%,1.67%,0.06%,0.0%,0.0%,0.0%,0.0%,0.0%
7,"Allen-Cummings, Marti G",Participant,City Council District 07,A,2244,False,False,69013.0,1175,58.73,4271.75,64741.25,0,0,0,0,69013.0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,1179,0,0,0,0,0,0,0,0,40817.0,359.0,3075.0,165.0,6700.0,359.0,51116.0,59.14%,0.52%,4.46%,0.24%,9.71%,0.52%,74.07%,640,13,88,5,153,13,898,25.0,3292.0,1190.0,530.0,1075.0,1443.0,0.04%,4.77%,1.72%,0.77%,1.56%,2.09%,1,98,5,18,21,42,848.8399999999999,0,0,0,0,3422.91,848.8399999999999,1.23%,0.0%,0.0%,0.0%,0.0%,4.96%,1.23%,0,0,0,0,0,0,0,250.0,0,1005.69,0,0,2212.8,0,0,0,0,803.26,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.36%,0.0%,1.46%,0.0%,0.0%,3.21%,0.0%,0.0%,0.0%,0.0%,1.16%,0.0%,0.0%,0.0%,0.0%,0.0%
8,"Apostol-Marius, Philippe-Edner",Participant,City Council District 49,A,2031,False,False,905.0,27,33.52,248.02000000000004,656.98,0,0,0,0,905.0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,27,0,0,0,0,0,0,0,0,0,10.0,0,770.0,100.0,10.0,880.0,0.0%,1.1%,0.0%,85.08%,11.05%,1.1%,97.24%,0,1,0,23,2,1,26,0,210.0,0,25.0,130.0,0,0.0%,23.2%,0.0%,2.76%,14.36%,0.0%,0,5,0,1,4,0,0,0,0,139.04999999999998,0,108.97000000000001,139.04999999999998,0.0%,0.0%,0.0%,15.36%,0.0%,12.04%,15.36%,0,3.85,0,0,0,0,0,0,0,24.76,0,0,219.41,0,0,0,0,0,0,0,0,0,0,0.0%,0.43%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.74%,0.0%,0.0%,24.24%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
