Candidate,Public Financing Status,Office,Option,ID
"Abdin, Misba",Participant,City Council District 37,A,
"Abreu, Shaun",Participant,City Council District 07,A,
"Adams, Adrienne E",Participant,City Council District 28,A,
"Adams, Elizabeth",Participant,City Council District 33,A,
"Adams, Eric L",Participant,Undeclared,A,
"Adler, Amber",Participant,Undeclared,A,
"Alamarie, Kaled",Participant,City Council District 32,A,
"Allen-Cummings, Marti G",Participant,City Council District 07,A,
"Apostol-Marius, Philippe-Edner",Participant,City Council District 49,A,
"Aquino, Fernando A",Participant,City Council District 14,A,
"Ardila, Juan D",Participant,City Council District 30,A,
"Aujla, Andy*",Participant,Undeclared,A,
"Avella, Tony",Participant,City Council District 19,A,
"Aviles, Alexa",Participant,City Council District 38,A,
"Ayala, Diana",Participant,City Council District 08,A,
"Barnes, Amoy K",Participant,City Council District 49,A,
"Bean, Jaime-Faye",Participant,City Council District 22,A,
"Beckford, Roy A",Participant,City Council District 45,A,
"Beltzer, Michael",Undetermined,Undeclared,,
"Benjamin, Brian A",Participant,Comptroller,A,
"Benjamin, Latoya",Participant,City Council District 31,A,
"Boccardi, Evan F",Participant,City Council District 29,A,
"Bortoli, Tavo T",Participant,City Council District 26,A,
"Bottcher, Erik",Participant,City Council District 03,A,
"Brannan, Justin",Participant,City Council District 43,A,
"Bravo, Ischia",Participant,City Council District 15,A,
"Bravo-Lopez, Glomani",Participant,City Council District 33,A,
"Brazela, Gardy",Participant,City Council District 46,A,
"Brea, Lorenzo",Participant,City Council District 26,A,
"Brook Krasny, Alec",Participant,City Council District 47,A,
"Brooks-Powers, Selvena N",Participant,Undeclared,A,
"Bullaro, Leonardo",Participant,City Council District 22,A,
"Cabrera, Fernando",Participant,Bronx Boro President,A,
"Camarena, Rodrigo G",Participant,City Council District 38,A,
"Cambranes, Victoria E",Participant,City Council District 33,A,
"Caputo, Elizabeth R",Participant,Manhattan Boro President,A,
"Cerrotti, Jesse A",Participant,City Council District 22,A,
"Cespedes, Louis A§",Undetermined,City Council District 45,,
"Chen, Hailing",Participant,City Council District 20,A,
"Chino, Theo B",Participant,Public Advocate,B,
"Coello, Leonardo",Participant,City Council District 16,A,
"Cohen, Daniel M",Participant,City Council District 07,A,
"Cornegy, Jr., Robert E",Participant,Brooklyn Boro President,A,
"Cortez, Cecilia C",Participant,City Council District 40,A,
"Council, Kimberly",Participant,City Council District 37,A,
"Crespo, Elisa",Participant,City Council District 15,A,
"Cunningham, Brian-Christopher A",Participant,City Council District 40,A,
"De La Rosa, Carmen",Participant,City Council District 10,A,
"De Los Santos, Manny",Participant,City Council District 10,A,
"DeLuca, Jennifer E",Participant,City Council District 39,A,
